user_id,age,income_tier,primary_use,human_choice
77,25,Medium,Browsing,Option C
78,31,Medium,Gaming,Option B
79,40,High,Streaming,Option C
80,57,Medium,Streaming,Option C
81,38,Medium,Browsing,Option A
82,33,Low,Streaming,Option B
83,62,Medium,Browsing,Option B
84,35,Low,Streaming,Option A
85,64,Low,Browsing,Option A
86,41,High,Streaming,Option C
87,43,Medium,Gaming,Option B
88,42,High,Streaming,Option C
89,62,Medium,Streaming,Option C
90,58,Medium,Gaming,Option B
91,46,Medium,Streaming,Option C
92,32,Medium,Gaming,Option B
93,62,Medium,Streaming,Option C
94,18,Low,Browsing,Option A
95,42,Medium,Browsing,Option A
96,24,Low,Streaming,Option B
97,26,Low,Streaming,Option A
98,41,Medium,Streaming,Option C
99,18,Low,Browsing,Option C
100,61,High,Streaming,Option B
101,25,High,Browsing,Option C
102,41,High,Gaming,Option C
103,28,Medium,Browsing,Option C
104,34,Low,Browsing,Option A
105,25,High,Gaming,Option C
106,52,Medium,Browsing,Option C
107,52,High,Streaming,Option A
108,50,High,Streaming,Option A
109,22,High,Browsing,Option C
110,59,Low,Streaming,Option A
111,56,Medium,Browsing,Option A
112,58,High,Streaming,Option C
113,45,Medium,Streaming,Option B
114,24,Low,Browsing,Option A
115,26,Medium,Streaming,Option C
116,25,High,Browsing,Option C
117,29,Medium,Streaming,Option C
118,51,Medium,Streaming,Option C
119,50,Low,Gaming,Option A
120,40,Medium,Gaming,Option B
121,41,High,Browsing,Option C
122,54,Low,Gaming,Option B
123,52,Medium,Browsing,Option B
124,61,High,Gaming,Option C
125,57,Medium,Streaming,Option C
126,39,Medium,Browsing,Option A
127,44,Medium,Browsing,Option C
128,52,Medium,Streaming,Option B
129,18,Low,Browsing,Option A
130,52,High,Browsing,Option A
131,54,High,Gaming,Option C
132,64,High,Browsing,Option C
133,31,High,Streaming,Option B
134,20,Medium,Gaming,Option C
135,18,Medium,Gaming,Option A
136,22,Medium,Streaming,Option B
137,43,Medium,Streaming,Option B
138,31,Medium,Gaming,Option A
139,56,Medium,Browsing,Option B
140,44,High,Gaming,Option C
141,26,Medium,Streaming,Option C
142,32,Medium,Gaming,Option A
143,32,Low,Streaming,Option A
144,43,Medium,Gaming,Option A
145,59,Low,Browsing,Option B
146,30,Medium,Gaming,Option A
147,49,Medium,Gaming,Option B
148,56,Low,Streaming,Option C
149,49,Medium,Streaming,Option C
150,21,Low,Streaming,Option C
151,47,Low,Gaming,Option A
152,54,High,Browsing,Option C
153,40,Medium,Streaming,Option C
154,56,Low,Streaming,Option B
155,62,Medium,Gaming,Option A
156,32,Medium,Streaming,Option B
157,60,Low,Browsing,Option A
158,46,Medium,Browsing,Option B
159,53,Low,Streaming,Option B
160,30,Low,Streaming,Option B
161,49,Medium,Gaming,Option A
162,24,Medium,Browsing,Option C
163,39,Medium,Browsing,Option B
164,45,Medium,Streaming,Option B
165,19,High,Gaming,Option B
166,59,Medium,Browsing,Option C
167,62,Medium,Browsing,Option A
168,23,Medium,Gaming,Option B
169,45,Low,Gaming,Option B
170,45,Medium,Browsing,Option A
171,61,Low,Browsing,Option A
172,61,Low,Gaming,Option A
173,37,High,Browsing,Option B
174,47,High,Streaming,Option C
175,28,Medium,Streaming,Option B
176,45,Medium,Gaming,Option B
177,42,Low,Gaming,Option A
178,56,Low,Gaming,Option A
179,50,Low,Streaming,Option B
180,18,Medium,Browsing,Option B
181,44,Medium,Streaming,Option C
182,30,Medium,Browsing,Option B
183,58,Low,Streaming,Option A
184,20,High,Browsing,Option B
185,56,Medium,Streaming,Option C
186,23,Medium,Gaming,Option B
187,25,Medium,Streaming,Option B
188,44,Medium,Browsing,Option B
189,26,Low,Streaming,Option A
190,54,Medium,Streaming,Option C
191,50,Medium,Streaming,Option A
192,59,Low,Gaming,Option A
193,61,Low,Streaming,Option A
194,41,Low,Gaming,Option A
195,32,Low,Gaming,Option B
196,49,High,Streaming,Option A
197,49,Medium,Streaming,Option C
198,41,Medium,Streaming,Option A
199,58,Low,Browsing,Option B
200,29,Medium,Streaming,Option A
